DimCardID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,AgeGroup
40,4913219784759551,dki,Tgk. Unjani Ardianto,F,1995,Young Adult (18-35)
41,341286290257313,emoney,Yessi Samosir,F,1986,Middle Age (36-55)
42,4161472167455762056,brizzi,Yoga Najmudin,F,1971,Middle Age (36-55)
43,213122945416001,emoney,"Drs. Putri Agustina, S.Ked",M,1991,Young Adult (18-35)
44,4667378541924300,dki,Mustika Sihombing,F,1994,Young Adult (18-35)
45,30017620443802,bni,Cahyo Laksmiwati,F,1997,Young Adult (18-35)
46,5108027957822672,dki,"Puti Ira Riyanti, M.TI.",F,1983,Middle Age (36-55)
47,30466180262807,bni,T. Galih Hassanah,F,1979,Middle Age (36-55)
48,4830766717808921,dki,Opan Wahyudin,M,1970,Middle Age (36-55)
49,4355821507759878,dki,Karsa Situmorang,M,2009,Youth (<18)
50,343155045659487,emoney,"Nasim Pratama, M.Farm",M,1996,Young Adult (18-35)
51,6559801238648367,dki,Banawa Uwais,F,2000,Young Adult (18-35)
52,567011865662,flazz,"Sutan Galuh Megantara, M.Farm",M,1986,Middle Age (36-55)
53,6569456263254306,dki,drg. Adinata Farida,M,1967,Senior (>55)
54,676110599765,flazz,"Cut Nilam Saefullah, S.IP",M,1968,Senior (>55)
55,379476871484858,emoney,"Wardi Rajasa, S.IP",F,2003,Young Adult (18-35)
56,4921761154389962884,brizzi,Yani Nurdiyanti,F,1979,Middle Age (36-55)
57,30396549737829,bni,Dina Gunarto,F,2008,Youth (<18)
58,345324208279669,emoney,Ika Habibi,F,1995,Young Adult (18-35)
59,6011168480359578,dki,Farhunnisa Wulandari,F,1972,Middle Age (36-55)
60,2292476876426474,dki,Martaka Adriansyah,F,1981,Middle Age (36-55)
61,180039729742940,emoney,"Ir. Kamila Dongoran, S.Kom",M,1949,Senior (>55)
62,30419900377322,bni,Diah Yuniar,F,1991,Young Adult (18-35)
63,60414485361,flazz,Radika Kuswandari,M,1992,Young Adult (18-35)
64,3566840452031577,dki,Kanda Astuti,F,1987,Middle Age (36-55)
65,6538168922712586,dki,Panca Samosir,F,2000,Young Adult (18-35)
66,6564464762533563,dki,"Yance Padmasari, S.Psi",F,1980,Middle Age (36-55)
67,4837542631469600,dki,Edi Siregar,M,1981,Middle Age (36-55)
68,501801974178,flazz,Syahrini Santoso,M,1987,Middle Age (36-55)
69,3516268200018897,dki,Icha Maryati,M,1971,Middle Age (36-55)
70,4132046435082310427,brizzi,Salimah Prastuti,M,1991,Young Adult (18-35)
71,4574231689808458,dki,"Cut Clara Prasetyo, S.H.",M,1979,Middle Age (36-55)
72,3574904734213435,dki,Tira Siregar,M,1998,Young Adult (18-35)
73,3526749485356043,dki,Ghaliyati Kusumo,F,1991,Young Adult (18-35)
74,4969158256968,online,"Drs. Ana Gunawan, M.Ak",F,2009,Youth (<18)
75,213140792063932,emoney,"dr. Cemani Januar, M.Farm",F,2005,Young Adult (18-35)
76,4847652461533084005,brizzi,Empluk Siregar,F,2003,Young Adult (18-35)
77,4583642334332201886,brizzi,"Vanesa Lazuardi, M.Pd",F,1991,Young Adult (18-35)
78,6586013048463345,dki,Taufan Wasita,F,1969,Senior (>55)
79,379018941314150,emoney,Narji Manullang,M,1989,Middle Age (36-55)
80,6565052746964365,dki,"H. Cemeti Widiastuti, S.T.",M,1989,Middle Age (36-55)
81,4988925887723758169,brizzi,Tgk. Yunita Sitompul,M,1989,Middle Age (36-55)
82,3514277692162024,dki,"Puti Zalindra Aryani, S.Pt",M,1992,Young Adult (18-35)
83,3579213558648741,dki,Kardi Suryatmi,M,1992,Young Adult (18-35)
84,38905927268645,bni,Umi Hassanah,F,1983,Middle Age (36-55)
85,4724196963863,online,Cut Ade Siregar,F,1975,Middle Age (36-55)
86,4514365862551597022,brizzi,Eli Wastuti,F,2004,Young Adult (18-35)
87,345149244445630,emoney,Maimunah Nasyiah,F,1971,Middle Age (36-55)
88,676207307346,flazz,Indra Farida,M,1977,Middle Age (36-55)
89,4166359515716126,dki,Gamani Puspita,F,2009,Youth (<18)
90,583552353554,flazz,Wardi Putra,F,2000,Young Adult (18-35)
91,6502271825566034,dki,Karimah Mandasari,F,2000,Young Adult (18-35)
92,3518481202652088,dki,Ir. Wakiman Lailasari,M,1994,Young Adult (18-35)
93,180033316139016,emoney,Bakiono Wulandari,M,1976,Middle Age (36-55)
94,6529701559362449,dki,Adhiarja Oktaviani,M,1986,Middle Age (36-55)
95,4063495564889960,dki,Mulya Puspasari,M,1977,Middle Age (36-55)
96,180086893427733,emoney,Chelsea Nugroho,F,1991,Young Adult (18-35)
97,676192890199,flazz,Luthfi Sihotang,F,1998,Young Adult (18-35)
98,180084587836004,emoney,Sari Megantara,M,1984,Middle Age (36-55)
99,6501617237702032,dki,"dr. Kamidin Melani, M.Ak",F,1999,Young Adult (18-35)
100,3592453291426988,dki,"KH. Gaman Pradipta, S.E.I",M,1978,Middle Age (36-55)
101,3508166954948246,dki,Ulya Maulana,M,2010,Youth (<18)
102,639083143698,flazz,Lalita Winarsih,M,1998,Young Adult (18-35)
103,3548156160537109,dki,Rika Nugroho,F,1981,Middle Age (36-55)
104,4720840952268316,dki,"Tgk. Karna Firmansyah, S.E.I",F,1996,Young Adult (18-35)
105,5408098761807685,dki,Unggul Maheswara,M,1980,Middle Age (36-55)
106,180052755201319,emoney,Satya Tarihoran,M,1979,Middle Age (36-55)
107,30220748429253,bni,Cager Rahmawati,M,1980,Middle Age (36-55)
108,30192697007663,bni,Amalia Wibowo,M,1983,Middle Age (36-55)
109,676225665337,flazz,Gamblang Laksmiwati,F,2000,Young Adult (18-35)
110,371807360671928,emoney,Cemeti Rajasa,F,1984,Middle Age (36-55)
111,4102246082351089,dki,Hilda Habibi,F,1995,Young Adult (18-35)
112,3540974017816338,dki,Cici Napitupulu,M,1996,Young Adult (18-35)
113,3549811187415361,dki,Dalima Prabowo,F,2011,Youth (<18)
114,3530988453708249,dki,KH. Pranawa Suryatmi,M,1977,Middle Age (36-55)
115,6011701984952157,dki,Aurora Hutasoit,M,1993,Young Adult (18-35)
116,502026509856,flazz,"Ir. Argono Marbun, S.I.Kom",F,2008,Youth (<18)
117,3584704802699715,dki,dr. Ajiono Siregar,M,1966,Senior (>55)
118,30174833494070,bni,"R.M. Opan Mahendra, M.Farm",F,2003,Young Adult (18-35)
119,6538837057383617,dki,Talia Maheswara,M,1974,Middle Age (36-55)
120,4220965469847225190,brizzi,Ir. Timbul Hariyah,F,1996,Young Adult (18-35)
121,4556880052204240,dki,Sarah Lailasari,F,1992,Young Adult (18-35)
122,60451757490,flazz,Ajiono Farida,F,2010,Youth (<18)
123,676391203483,flazz,Carla Pangestu,M,1985,Middle Age (36-55)
124,5254755602161987,dki,"Hasna Pradana, M.TI.",F,2005,Young Adult (18-35)
125,180083981555830,emoney,Intan Hasanah,M,1981,Middle Age (36-55)
126,3552934982677847,dki,"Karsa Wasita, S.Farm",M,1997,Young Adult (18-35)
127,2550314282087688,dki,Kania Mustofa,M,1978,Middle Age (36-55)
128,2573822359414786,dki,"dr. Cinta Pradipta, S.E.I",F,1999,Young Adult (18-35)
129,6582531023829515,dki,Jefri Puspasari,F,2001,Young Adult (18-35)
130,3525648598829352,dki,Martani Ardianto,M,1996,Young Adult (18-35)
131,3579143400743863,dki,"Warsita Halimah, M.TI.",M,1975,Middle Age (36-55)
132,3510002375917583,dki,Zulfa Hakim,M,1991,Young Adult (18-35)
133,4712929805488646452,brizzi,Gaiman Najmudin,M,2008,Youth (<18)
134,4957416374391319,dki,"dr. Bella Saptono, M.Kom.",M,1989,Middle Age (36-55)
135,30439848862219,bni,Sakura Putra,F,1965,Senior (>55)
136,4142111072575042,dki,"R. Pandu Wibowo, S.E.",M,1985,Middle Age (36-55)
137,213156792628375,emoney,Kezia Nainggolan,F,2011,Youth (<18)
138,4509891549814,online,Halim Natsir,F,2004,Young Adult (18-35)
139,4971373027133,online,Mitra Hartati,M,1995,Young Adult (18-35)
140,4533949164755486,dki,"Cut Salimah Sudiati, S.E.I",F,1994,Young Adult (18-35)
141,4414651233488248,dki,Daruna Suryono,F,1990,Young Adult (18-35)
142,30257906128996,bni,"Danu Yuliarti, S.Psi",F,2000,Young Adult (18-35)
143,4973673615977437628,brizzi,Tina Saptono,F,1985,Middle Age (36-55)
144,180058314432964,emoney,"Elisa Januar, S.E.",F,1982,Middle Age (36-55)
145,30121175202389,bni,"Ana Haryanto, M.TI.",F,1993,Young Adult (18-35)
146,5481817045384504,dki,Asman Wacana,F,1988,Middle Age (36-55)
147,3511145559207617,dki,Yunita Prakasa,F,1993,Young Adult (18-35)
148,30016299145854,bni,"Ganjaran Laksita, S.H.",F,2003,Young Adult (18-35)
149,4795703000065653710,brizzi,R. Ina Susanti,F,2008,Youth (<18)
150,4738055479835667,dki,Chelsea Hakim,M,1985,Middle Age (36-55)
151,503832232527,flazz,"Drs. Titin Nashiruddin, M.Kom.",M,1985,Middle Age (36-55)
152,2716976125972002,dki,Heryanto Saefullah,F,1985,Middle Age (36-55)
153,180006083281757,emoney,"R.A. Farah Fujiati, M.TI.",M,2009,Youth (<18)
154,4766308449083,online,"Ulva Halim, M.Pd",F,1984,Middle Age (36-55)
155,213145840910927,emoney,Empluk Hidayanto,M,1988,Middle Age (36-55)
156,2238648487823896,dki,"Dt. Marwata Hariyah, M.Farm",M,1999,Young Adult (18-35)
157,4454838193571110,dki,Clara Wahyuni,M,1996,Young Adult (18-35)
158,4793746731569027,dki,Iriana Thamrin,M,1959,Senior (>55)
159,3530189514009418,dki,Paris Rahmawati,M,1975,Middle Age (36-55)
160,502058582979,flazz,Paramita Mangunsong,F,1998,Young Adult (18-35)
161,378709646366245,emoney,"Atmaja Puspita, S.H.",F,2006,Young Adult (18-35)
162,2642877927065855,dki,Yulia Aryani,M,1969,Senior (>55)
163,5479700699387094,dki,"Soleh Tampubolon, M.M.",M,2011,Youth (<18)
164,676140941979,flazz,Safina Winarsih,F,1993,Young Adult (18-35)
165,344033165199445,emoney,Drs. Ulva Samosir,M,1981,Middle Age (36-55)
166,589644842108,flazz,Sari Hidayanto,M,1972,Middle Age (36-55)
167,630487661872,flazz,"Kania Ramadan, S.Pd",F,1995,Young Adult (18-35)
168,4311118054284266,dki,Ibun Sitorus,F,1985,Middle Age (36-55)
169,4506180644463953,dki,Yuliana Halim,M,2002,Young Adult (18-35)
170,30487741914900,bni,Hilda Hardiansyah,M,1989,Middle Age (36-55)
171,3525403451290510,dki,Carla Lazuardi,F,2006,Young Adult (18-35)
172,5587411604405083,dki,Winda Permadi,F,1995,Young Adult (18-35)
173,213157436058615,emoney,"Ir. Dian Yuliarti, S.Ked",M,1966,Senior (>55)
174,2292813205507840,dki,"KH. Teguh Prasetyo, M.Kom.",F,2007,Young Adult (18-35)
175,38872992140135,bni,Okta Waskita,F,1982,Middle Age (36-55)
176,4785250633342989,dki,Sutan Karsana Hidayanto,M,1971,Middle Age (36-55)
177,4978977117161330687,brizzi,Alambana Nababan,M,1959,Senior (>55)
178,213163760942747,emoney,Luwes Oktaviani,F,1999,Young Adult (18-35)
179,4686841993367127,dki,"Zaenab Dongoran, S.Pt",F,2009,Youth (<18)
180,2421822351477066,dki,Tami Wijaya,M,1979,Middle Age (36-55)
181,4182138407707158790,brizzi,Jagaraga Haryanto,F,2011,Youth (<18)
182,4185901375932348,dki,Cagak Rahimah,M,1966,Senior (>55)
183,6515650995770267,dki,Laila Mandasari,M,2007,Young Adult (18-35)
184,6572411632967539,dki,"drg. Yono Wacana, M.TI.",F,2004,Young Adult (18-35)
185,342363275031820,emoney,Dr. Kanda Waluyo,F,1993,Young Adult (18-35)
186,6549841272247968,dki,"Salimah Lestari, M.Farm",F,1988,Middle Age (36-55)
187,3525687523606394,dki,Victoria Handayani,M,1948,Senior (>55)
188,6568830886981340,dki,Jarwa Hartati,F,1967,Senior (>55)
189,3591532871498797,dki,T. Hadi Prabowo,M,1995,Young Adult (18-35)
190,3516833721791072,dki,"Drs. Candra Nugroho, S.Sos",F,1987,Middle Age (36-55)
191,4953106545721007,dki,Ade Mustofa,M,1984,Middle Age (36-55)
192,30328524689642,bni,Bakijan Prasetya,F,1992,Young Adult (18-35)
193,3526440093624861,dki,"Maya Susanti, M.Pd",F,1998,Young Adult (18-35)
194,3599064296837120,dki,"Drs. Natalia Fujiati, M.Kom.",F,1991,Young Adult (18-35)
195,4062700751165756,dki,Kiandra Mahendra,F,2009,Youth (<18)
196,4171596939834794,dki,"Viktor Siregar, S.T.",F,1997,Young Adult (18-35)
197,4868985179494,online,Lasmanto Saputra,F,1983,Middle Age (36-55)
198,3567207401159348,dki,Shakila Wacana,F,1969,Senior (>55)
199,4140090786823116,dki,Eva Fujiati,M,1992,Young Adult (18-35)
200,4384593049363999,dki,Kayun Anggriawan,M,2008,Youth (<18)
201,213127623239781,emoney,"Sutan Leo Salahudin, S.Pt",M,1991,Young Adult (18-35)
202,3548237689160225,dki,Catur Wibisono,F,1982,Middle Age (36-55)
203,6011447291745419,dki,Queen Susanti,F,1971,Middle Age (36-55)
204,3569685970319278,dki,"Dt. Wisnu Pranowo, S.Sos",M,1999,Young Adult (18-35)
205,2226618830213651,dki,Adinata Namaga,M,1984,Middle Age (36-55)
206,4569057608519958336,brizzi,Martana Hutapea,F,1988,Middle Age (36-55)
207,676379775700,flazz,Caturangga Astuti,M,1986,Middle Age (36-55)
208,213171811019258,emoney,Uchita Jailani,M,1992,Young Adult (18-35)
209,6595870323120133,dki,"Irsad Sitompul, S.Pt",M,1974,Middle Age (36-55)
210,3533299872543689,dki,Puti Wijaya,M,1994,Young Adult (18-35)
211,347490406685342,emoney,"Ridwan Saragih, S.Sos",F,1991,Young Adult (18-35)
212,3592006064554533,dki,"Tgk. Fitriani Wijayanti, M.Kom.",F,1997,Young Adult (18-35)
213,676268371884,flazz,Jaka Pratiwi,F,2008,Youth (<18)
214,376070474986048,emoney,Harjaya Permata,F,1985,Middle Age (36-55)
215,5313195914425433,dki,Ikhsan Suwarno,M,1987,Middle Age (36-55)
216,30482938718818,bni,Puti Salwa Usamah,F,1989,Middle Age (36-55)
217,4323365936035005236,brizzi,Lasmanto Widodo,F,2010,Youth (<18)
218,3586335354203511,dki,Caraka Hassanah,F,1986,Middle Age (36-55)
219,4317770704404592916,brizzi,Kanda Nababan,F,1973,Middle Age (36-55)
220,4539339050462831,dki,Tri Suryono,M,1972,Middle Age (36-55)
221,6011591895408971,dki,"Mila Hidayanto, M.Ak",F,1994,Young Adult (18-35)
222,4640270219505325371,brizzi,Drs. Lantar Simbolon,M,2003,Young Adult (18-35)
223,180087407221026,emoney,Gatra Anggriawan,F,1970,Middle Age (36-55)
224,3510515882233160,dki,Hamima Dongoran,M,1993,Young Adult (18-35)
225,6504738429335303,dki,Yuliana Prasasta,M,1981,Middle Age (36-55)
226,30022704705472,bni,Baktiadi Widiastuti,F,2006,Young Adult (18-35)
227,6011454110170456,dki,"Sabrina Rajasa, S.Psi",M,1971,Middle Age (36-55)
228,4989507291318559,dki,Silvia Kurniawan,F,1984,Middle Age (36-55)
229,6550921087981674,dki,Almira Uyainah,F,2000,Young Adult (18-35)
230,3599231119025817,dki,Ratih Prasasta,F,1987,Middle Age (36-55)
231,375069194066736,emoney,Violet Winarno,F,1995,Young Adult (18-35)
232,3554140021575764,dki,Prima Tampubolon,F,2004,Young Adult (18-35)
233,213183577939322,emoney,Alika Nurdiyanti,F,1988,Middle Age (36-55)
234,30598768862044,bni,Zamira Hutapea,F,1986,Middle Age (36-55)
235,340796474419514,emoney,"Dr. Puji Dabukke, S.T.",F,2011,Youth (<18)
236,30548078126861,bni,Ilsa Kuswandari,M,1994,Young Adult (18-35)
237,3553408204685093,dki,Simon Usamah,M,1983,Middle Age (36-55)
238,6543802614789436,dki,Yuliana Hasanah,F,1989,Middle Age (36-55)
239,213136262925980,emoney,Dr. Elma Adriansyah,M,1991,Young Adult (18-35)
240,4426114781413995656,brizzi,Michelle Tarihoran,F,2010,Youth (<18)
241,639080474021,flazz,KH. Nugraha Hutapea,F,2008,Youth (<18)
242,2712791236708573,dki,Zelda Sudiati,F,2012,Youth (<18)
243,30555324462990,bni,Zelaya Lailasari,F,1999,Young Adult (18-35)
244,30206119536552,bni,Ir. Akarsana Januar,F,2010,Youth (<18)
245,6011924147960871,dki,Fathonah Winarno,F,2007,Young Adult (18-35)
246,6011855297328735,dki,Mahmud Nashiruddin,M,1986,Middle Age (36-55)
247,4731332052081192,dki,Bakiman Prastuti,M,1984,Middle Age (36-55)
248,4740865854647,online,Yuliana Yolanda,M,1978,Middle Age (36-55)
249,3509002146769928,dki,"R.M. Martana Novitasari, M.Kom.",F,2011,Youth (<18)
250,2267679776500659,dki,Puti Amalia Mandasari,M,1980,Middle Age (36-55)
251,373623518033483,emoney,Dian Maheswara,M,2011,Youth (<18)
252,4453365377962841,dki,Ir. Hendri Prastuti,M,1955,Senior (>55)
253,180036667381400,emoney,"Raina Nababan, M.Kom.",M,1984,Middle Age (36-55)
254,6501394678611409,dki,Oni Napitupulu,F,2009,Youth (<18)
255,30557457035551,bni,Cindy Iswahyudi,M,1985,Middle Age (36-55)
256,3565192573940638,dki,"Dr. Maman Latupono, S.IP",M,1991,Young Adult (18-35)
257,3522290491884706,dki,Gasti Pertiwi,M,2003,Young Adult (18-35)
258,6560292120042686,dki,"Ami Utami, S.T.",M,1991,Young Adult (18-35)
259,4591012639107954,dki,Fitriani Safitri,M,1988,Middle Age (36-55)
260,4022914605546408932,brizzi,Titi Winarsih,F,1992,Young Adult (18-35)
261,3520848268114946,dki,Dina Pudjiastuti,F,1981,Middle Age (36-55)
262,374790854503517,emoney,Prayogo Mahendra,M,1955,Senior (>55)
263,4990004747532741,dki,"Juli Wulandari, S.IP",M,1994,Young Adult (18-35)
264,213150707826687,emoney,Karman Utami,M,1977,Middle Age (36-55)
265,5330059082894417,dki,Galar Riyanti,F,2003,Young Adult (18-35)
266,4017898207378,online,Umaya Puspita,F,2005,Young Adult (18-35)
267,2720917031613821,dki,"Drs. Tira Januar, S.E.I",F,2011,Youth (<18)
268,568671765721,flazz,"dr. Unggul Mahendra, S.Gz",F,1993,Young Adult (18-35)
269,3542325218028769,dki,Jindra Lazuardi,M,1985,Middle Age (36-55)
270,4282796925972,online,Zelaya Jailani,M,2011,Youth (<18)
271,4898725735436718,dki,Nasrullah Sinaga,M,1990,Young Adult (18-35)
272,370817142231918,emoney,Julia Mandala,F,2002,Young Adult (18-35)
273,4924424862539118,dki,"Capa Pratiwi, S.Pt",M,1972,Middle Age (36-55)
274,38361947724177,bni,Puti Kartika Wacana,M,1978,Middle Age (36-55)
275,30070591401796,bni,Olivia Manullang,M,2010,Youth (<18)
276,180050614247010,emoney,Aisyah Zulaika,F,1987,Middle Age (36-55)
277,3551992713417603,dki,Uli Usada,M,1976,Middle Age (36-55)
278,30486631881328,bni,"Dr. Devi Prayoga, S.Ked",M,1993,Young Adult (18-35)
279,4238959837032,online,"Drs. Jelita Dabukke, M.M.",F,1976,Middle Age (36-55)
280,2703934156872851,dki,Yance Mandasari,M,1983,Middle Age (36-55)
281,4692118665509068,dki,Ani Mandasari,F,1997,Young Adult (18-35)
282,6011490249837524,dki,Rina Halimah,F,1977,Middle Age (36-55)
283,4574977505013737,dki,Drajat Najmudin,F,1989,Middle Age (36-55)
284,567694488402,flazz,Amelia Farida,F,1996,Young Adult (18-35)
285,586798043053,flazz,"Ir. Darijan Rahimah, S.I.Kom",M,1996,Young Adult (18-35)
286,4321504395224709346,brizzi,drg. Damar Anggriawan,F,1984,Middle Age (36-55)
287,4467317296348,online,Zahra Sihombing,M,1983,Middle Age (36-55)
288,30408682322218,bni,Adika Firgantoro,F,1995,Young Adult (18-35)
289,2267223744946551,dki,"T. Darmana Budiman, S.E.",F,1987,Middle Age (36-55)
290,373403833319333,emoney,"KH. Karta Tamba, S.E.I",M,1990,Young Adult (18-35)
291,3588343652332162,dki,Puti Rachel Wacana,M,1974,Middle Age (36-55)
292,4307785809557075,dki,Kemal Budiyanto,M,1989,Middle Age (36-55)
293,180004429530433,emoney,Sutan Jabal Fujiati,F,2011,Youth (<18)
294,341215450619137,emoney,Kardi Rahimah,F,1994,Young Adult (18-35)
295,5433133838779267,dki,Dinda Siregar,M,1989,Middle Age (36-55)
296,376102722472065,emoney,"Jagaraga Pudjiastuti, S.Ked",M,1969,Senior (>55)
297,213141943220504,emoney,Kamila Nurdiyanti,M,2012,Youth (<18)
298,6011971400442402,dki,Bambang Budiman,F,1990,Young Adult (18-35)
299,4366769343837637798,brizzi,"Chandra Waluyo, S.Kom",M,1992,Young Adult (18-35)
300,30109179396174,bni,"Hj. Icha Halim, S.E.",F,1987,Middle Age (36-55)
301,180003856794926,emoney,Gatra Yulianti,F,1994,Young Adult (18-35)
302,639053866518,flazz,Mahfud Mangunsong,F,1996,Young Adult (18-35)
303,4573710579292678964,brizzi,"Tgk. Mustofa Lailasari, S.Pd",F,1989,Middle Age (36-55)
304,30520433026870,bni,KH. Darimin Sitompul,M,1975,Middle Age (36-55)
305,4177261711204997,dki,"Xanana Palastri, S.Farm",M,2012,Youth (<18)
306,675912639621,flazz,"H. Harjo Melani, S.H.",M,2009,Youth (<18)
307,4522414612159,online,Ajeng Lestari,M,2011,Youth (<18)
308,36275829185814,bni,Opung Uwais,F,2006,Young Adult (18-35)
309,3583806513601616,dki,Nadia Prakasa,F,1995,Young Adult (18-35)
310,3541110942119469,dki,drg. Ami Mayasari,M,1994,Young Adult (18-35)
311,4255264337151,online,Yessi Nugroho,F,1965,Senior (>55)
312,4730608196125,online,Balidin Irawan,M,1973,Middle Age (36-55)
313,3591538228014963,dki,"KH. Saka Wastuti, S.Sos",F,1983,Middle Age (36-55)
314,3558045062209080,dki,Kenari Gunawan,F,2000,Young Adult (18-35)
315,4185584186907,online,Ajimat Kusumo,M,1952,Senior (>55)
316,4697997428163,online,"Drs. Yessi Widodo, S.Gz",F,1998,Young Adult (18-35)
317,3593807566172123,dki,Hardana Situmorang,F,2009,Youth (<18)
318,4625134614077976,dki,"Eja Nugroho, M.TI.",M,1980,Middle Age (36-55)
319,213197337163221,emoney,Yoga Pradipta,F,1966,Senior (>55)
320,2228692404934248,dki,Sutan Sakti Pertiwi,M,2000,Young Adult (18-35)
321,3508525336728511,dki,"Dr. Hesti Sudiati, S.Kom",M,1987,Middle Age (36-55)
322,180094851534136,emoney,"Ir. Jamal Situmorang, S.Pd",M,2010,Youth (<18)
323,2720610833203871,dki,"Dt. Umaya Putra, S.Kom",F,2005,Young Adult (18-35)
324,4528628414875370158,brizzi,"Hj. Unjani Uyainah, M.M.",F,1996,Young Adult (18-35)
325,4295262736053,online,"Bahuwarna Iswahyudi, S.Ked",F,1987,Middle Age (36-55)
326,341853100176676,emoney,Bahuwirya Zulaika,M,2006,Young Adult (18-35)
327,6554150762621837,dki,Yessi Hartati,M,1979,Middle Age (36-55)
328,30044677966238,bni,Zelaya Natsir,F,1984,Middle Age (36-55)
329,4820768949948188,dki,"KH. Arta Hassanah, S.E.",F,2002,Young Adult (18-35)
330,4677308981958854,dki,"Wirda Hardiansyah, S.Pt",M,1969,Senior (>55)
331,575971497152,flazz,"Ir. Michelle Gunawan, S.E.",M,2012,Youth (<18)
332,375782199137597,emoney,Jaya Megantara,F,1986,Middle Age (36-55)
333,4700620532948254167,brizzi,Dian Nainggolan,M,2004,Young Adult (18-35)
334,675928282341,flazz,Elvina Widiastuti,M,1984,Middle Age (36-55)
335,4763625674592,online,Raharja Oktaviani,M,2001,Young Adult (18-35)
336,180085464515298,emoney,R.M. Ganep Maryadi,F,2011,Youth (<18)
337,3549346825849259,dki,Syahrini Prabowo,F,1988,Middle Age (36-55)
338,213188682799115,emoney,"T. Darmanto Setiawan, S.E.",F,1982,Middle Age (36-55)
339,3542294253067647,dki,Viman Suryono,F,1982,Middle Age (36-55)
340,60493315646,flazz,Vicky Namaga,M,2010,Youth (<18)
341,567376556682,flazz,Dr. Ida Kusumo,F,1958,Senior (>55)
342,5495673695638432,dki,Tiara Sitorus,F,1986,Middle Age (36-55)
343,676201130363,flazz,Harsaya Megantara,M,1995,Young Adult (18-35)
344,4453582249428,online,Kariman Rahmawati,M,1984,Middle Age (36-55)
345,4482141835344,online,Kasiyah Palastri,F,2008,Youth (<18)
346,3570773414088100,dki,Ratna Salahudin,F,1986,Middle Age (36-55)
347,213100356247016,emoney,Mala Mahendra,M,2000,Young Adult (18-35)
348,3587148625814340,dki,KH. Leo Firmansyah,F,2005,Young Adult (18-35)
